respondent_id,age,gender,country,education_level,employment_status,industry,job_role_level,work_experience_years,income_bracket,household_dependents,perceived_automation_risk,role_partially_automated,pct_tasks_automatable,ai_awareness,enrolled_reskilling,learning_platform,upskilling_hours_per_week,willingness_to_reskill,biggest_barrier,preferred_learning_mode,top_skill_pursued,reskilling_awareness_source,employer_provides_reskilling,govt_reskilling_subsidies,satisfaction_employer_ld,would_switch_for_reskilling,career_confidence_5yr,career_anxiety,accept_lower_pay_futureproof,expected_role_change_timeline,successful_reskill_transition,automation_vulnerability_idx,reskilling_engagement_score,support_ecosystem_score,anxiety_to_action_ratio,income_reskilling_gap,future_readiness_idx
R06548,32,Female,India,High School/Diploma,Self-employed/Freelancer,Agriculture,Mid-level,14,₹3-6L,1.0,4,Yes,61-80%,2,Yes,Government Program,3.0,3,Employer Doesn't Support,On-the-job Training,Soft Skills/Leadership,Social Media,Yes,Unsure,4,Yes,3,2,No,3,Yes,0.81,0.62,0.762,0.397,At-Risk Low Earner,0.575
R06549,20,Female,Australia,Master's,Self-employed/Freelancer,Healthcare,Manager/Director,0,A$160-250K,0.0,2,No,21-40%,3,No,None,0.0,3,Time,Peer Learning/Mentorship,None,Social Media,No,Unsure,4,No,5,4,Yes,9,No,0.19,0.125,0.412,5.556,Complacent High Earner,0.675
R06550,40,Male,India,Bachelor's,Unemployed - Not Seeking,Manufacturing,Entry-level,14,₹12-25L,1.0,3,No,0-20%,2,Yes,LinkedIn Learning,6.5,1,Time,Hybrid,Digital Marketing,News/Media,No,No,2,No,4,2,No,8,No,0.23,0.548,0.088,0.448,Invested High Earner,0.417
R06551,38,Female,India,Bachelor's,Unemployed - Seeking,Education,Senior,16,₹12-25L,3.0,2,No,21-40%,3,Yes,Bootcamp,2.5,3,Cost,On-the-job Training,Project Management,Self-Research,No,Unsure,3,No,4,2,No,8,No,0.19,0.612,0.325,0.402,Complacent High Earner,0.592
R06552,32,Male,Nigeria,High School/Diploma,Full-time Employed,Financial Services,Senior,10,₦4-8M,1.0,4,No,41-60%,4,Yes,Bootcamp,4.9,4,Family Responsibilities,In-person Classroom,Project Management,None,Yes,No,4,No,3,3,No,1,No,0.45,0.711,0.612,0.693,At-Risk Low Earner,0.696
R06553,29,Female,Nigeria,Below High School,Full-time Employed,Financial Services,Entry-level,9,<₦1.5M,2.0,2,No,41-60%,5,No,None,2.3,4,Cost,Online Self-paced,Data/AI & Machine Learning,Peers/Network,No,No,3,No,3,2,No,6,No,0.25,0.422,0.175,0.579,At-Risk Low Earner,0.612
R06554,37,Non-Binary,USA,High School/Diploma,Full-time Employed,Manufacturing,Entry-level,17,$75-120K,1.0,2,Yes,0-20%,4,No,None,0.0,4,Family Responsibilities,Online Self-paced,None,Self-Research,Yes,Yes,4,No,4,4,No,11,No,0.43,0.188,0.912,3.788,Complacent High Earner,0.629
R06555,29,Male,Germany,Bachelor's,Full-time Employed,Retail/E-commerce,Mid-level,6,€40-65K,1.0,2,Yes,41-60%,1,No,YouTube/Free Resources,0.0,3,Lack of Awareness,Hybrid,None,News/Media,No,Yes,3,No,3,3,No,7,No,0.55,0.125,0.475,3.704,At-Risk Low Earner,0.508
R06556,23,Male,UAE,Bachelor's,Self-employed/Freelancer,Financial Services,Entry-level,1,>AED 720K,1.0,3,No,41-60%,4,No,None,0.0,4,Cost,In-person Classroom,None,Social Media,Yes,Unsure,4,Yes,3,3,No,2,Yes,0.35,0.188,0.762,2.525,Complacent High Earner,0.679
R06557,31,Male,South Africa,Bachelor's,Full-time Employed,Agriculture,Executive/C-suite,8,R80-200K,0.0,3,No,21-40%,3,No,Udemy,0.0,3,Time,On-the-job Training,None,Self-Research,No,No,3,Yes,3,3,No,4,No,0.29,0.125,0.175,3.704,At-Risk Low Earner,0.558
R06558,20,Female,USA,Bachelor's,Unemployed - Seeking,Healthcare,Mid-level,0,$75-120K,2.0,2,No,0-20%,3,No,None,0.0,4,Cost,Online Instructor-led,None,Employer,No,No,1,Yes,5,1,No,10,No,0.13,0.188,0.0,0.0,Complacent High Earner,0.746
R06559,25,Female,Nigeria,High School/Diploma,Full-time Employed,Agriculture,Entry-level,0,<₦1.5M,0.0,4,No,21-40%,3,No,None,0.0,3,Time,In-person Classroom,None,Government Campaign,No,No,2,Yes,2,2,No,4,Yes,0.39,0.125,0.088,1.852,At-Risk Low Earner,0.458
R06560,42,Female,USA,Master's,Full-time Employed,Financial Services,Executive/C-suite,24,>$200K,1.0,3,No,41-60%,5,No,None,0.0,2,Employer Doesn't Support,In-person Classroom,None,Peers/Network,Yes,No,5,No,3,4,No,6,No,0.35,0.062,0.7,10.0,Complacent High Earner,0.438
R06561,32,Female,Nigeria,Below High School,Unemployed - Seeking,Logistics/Supply Chain,Mid-level,12,₦1.5-4M,2.0,2,No,0-20%,2,No,None,0.0,3,Employer Doesn't Support,In-person Classroom,None,News/Media,No,No,4,No,2,3,Yes,13,Yes,0.13,0.125,0.262,3.704,At-Risk Low Earner,0.308
R06562,42,Male,Germany,Bachelor's,Full-time Employed,Retail/E-commerce,Manager/Director,17,€65-100K,4.0,2,No,41-60%,2,No,None,0.0,3,Lack of Awareness,Peer Learning/Mentorship,None,News/Media,No,No,2,No,4,4,No,8,No,0.25,0.125,0.088,5.556,Complacent High Earner,0.592
R06563,40,Female,Singapore,Master's,Full-time Employed,Financial Services,Entry-level,14,S$50-90K,4.0,1,No,21-40%,4,No,None,0.0,4,Time,Hybrid,None,Self-Research,Yes,Yes,2,Yes,3,3,No,6,No,0.09,0.188,0.737,2.525,At-Risk Low Earner,0.612
R06564,30,Female,Germany,Bachelor's,Full-time Employed,Agriculture,Mid-level,5,€65-100K,1.0,3,Yes,0-20%,1,No,None,0.0,4,No Relevant Programs,Peer Learning/Mentorship,None,News/Media,No,Yes,1,Yes,4,3,Yes,3,No,0.53,0.188,0.3,2.525,Complacent High Earner,0.762
R06565,36,Male,USA,High School/Diploma,Full-time Employed,Retail/E-commerce,Mid-level,10,$50-75K,2.0,4,No,41-60%,4,Yes,Coursera,1.0,4,Time,Online Self-paced,Cybersecurity,Self-Research,No,Yes,2,Yes,2,5,No,4,No,0.45,0.653,0.387,1.508,At-Risk Low Earner,0.546
R06566,21,Male,UK,Bachelor's,Student,Retail/E-commerce,Entry-level,0,£80-120K,0.0,3,Yes,81-100%,3,Yes,University/College Program,1.6,5,Family Responsibilities,Hybrid,Cloud Computing,Peers/Network,No,No,1,Yes,4,3,No,4,Yes,0.77,0.724,0.0,0.681,Complacent High Earner,0.833
R06567,26,Female,USA,High School/Diploma,Full-time Employed,Manufacturing,Entry-level,4,$50-75K,2.0,3,No,0-20%,4,No,None,0.0,4,Family Responsibilities,On-the-job Training,None,Social Media,No,No,2,Yes,2,4,No,5,No,0.23,0.188,0.088,3.788,At-Risk Low Earner,0.529
R06568,25,Prefer Not to Say,Philippines,High School/Diploma,Part-time Employed,Manufacturing,Entry-level,0,<₱150K,1.0,3,No,0-20%,3,No,None,0.0,3,Time,On-the-job Training,None,Government Campaign,No,Unsure,2,No,2,2,No,6,No,0.23,0.125,0.238,1.852,At-Risk Low Earner,0.425
R06569,34,Female,USA,PhD,Self-employed/Freelancer,Construction/Real Estate,Mid-level,9,$50-75K,0.0,3,No,21-40%,3,Yes,Bootcamp,2.2,4,Family Responsibilities,Hybrid,Cybersecurity,Peers/Network,No,Unsure,2,Yes,2,2,No,4,Yes,0.29,0.671,0.238,0.367,At-Risk Low Earner,0.546
R06570,33,Non-Binary,UAE,Bachelor's,Self-employed/Freelancer,Technology/IT,Mid-level,8,AED 240-480K,2.0,2,Yes,21-40%,4,No,None,0.0,4,Time,In-person Classroom,None,Government Campaign,Yes,No,4,No,5,2,No,10,No,0.49,0.188,0.612,1.263,Complacent High Earner,0.746
R06571,22,Male,India,Bachelor's,Full-time Employed,Agriculture,Mid-level,0,₹6-12L,1.0,3,No,41-60%,4,Yes,Coursera,14.1,3,Cost,In-person Classroom,Data/AI & Machine Learning,Government Campaign,Yes,No,4,Yes,5,3,No,7,Yes,0.35,0.786,0.612,0.628,Striving Upskiller,0.708
R06572,26,Prefer Not to Say,UAE,Master's,Full-time Employed,Healthcare,Entry-level,7,AED 120-240K,3.0,3,Yes,41-60%,3,No,None,0.9,4,No Relevant Programs,Hybrid,Project Management,Social Media,Yes,Yes,4,No,3,3,No,6,Yes,0.65,0.401,0.912,1.217,At-Risk Low Earner,0.612
R06573,27,Male,Nigeria,High School/Diploma,Full-time Employed,Financial Services,Entry-level,5,₦1.5-4M,1.0,2,Yes,21-40%,3,No,None,0.0,3,Lack of Awareness,Online Instructor-led,None,News/Media,Yes,Unsure,5,No,4,1,No,9,Yes,0.49,0.125,0.85,0.0,At-Risk Low Earner,0.575
R06574,36,Female,Australia,Bachelor's,Full-time Employed,Energy/Utilities,Senior,15,A$60-100K,1.0,2,No,21-40%,3,No,YouTube/Free Resources,0.0,4,No Relevant Programs,Online Self-paced,None,Social Media,No,Yes,1,Yes,4,3,No,8,No,0.19,0.188,0.3,2.525,At-Risk Low Earner,0.679
R06575,31,Male,USA,Below High School,Full-time Employed,Retail/E-commerce,Mid-level,7,<$25K,0.0,5,Yes,21-40%,3,Yes,edX,12.4,3,Time,Hybrid,Project Management,Government Campaign,No,Unsure,5,Yes,3,4,No,3,Yes,0.79,0.761,0.5,0.973,Striving Upskiller,0.575
R06576,36,Female,UK,Master's,Full-time Employed,Manufacturing,Mid-level,10,£30-50K,2.0,4,No,41-60%,3,Yes,Coursera,2.8,3,Family Responsibilities,Hybrid,Digital Marketing,Peers/Network,No,No,1,No,2,5,No,5,No,0.45,0.617,0.0,1.595,At-Risk Low Earner,0.442
R06577,25,Male,Singapore,Bachelor's,Full-time Employed,Financial Services,Mid-level,3,S$50-90K,0.0,2,No,0-20%,3,No,None,1.8,3,Lack of Awareness,In-person Classroom,Data/AI & Machine Learning,Self-Research,Yes,Unsure,4,Yes,3,2,No,5,No,0.13,0.352,0.762,0.691,At-Risk Low Earner,0.542
R06578,26,Male,UK,Bachelor's,Full-time Employed,Manufacturing,Senior,0,£30-50K,1.0,3,No,41-60%,5,No,None,0.0,4,Family Responsibilities,Online Self-paced,None,Self-Research,No,Yes,2,Yes,4,1,No,7,No,0.35,0.188,0.387,0.0,At-Risk Low Earner,0.696
R06579,46,Male,UK,PhD,Part-time Employed,Manufacturing,Senior,25,£50-80K,0.0,3,No,41-60%,3,No,None,1.2,4,Lack of Awareness,Online Instructor-led,Soft Skills/Leadership,Social Media,Yes,Yes,3,No,2,4,No,8,No,0.35,0.406,0.825,1.803,Complacent High Earner,0.479
R06580,25,Male,India,Bachelor's,Self-employed/Freelancer,Energy/Utilities,Mid-level,0,₹3-6L,0.0,5,Yes,81-100%,3,No,None,0.0,3,Cost,In-person Classroom,None,Peers/Network,No,No,3,No,2,4,No,1,Yes,0.97,0.125,0.175,5.556,At-Risk Low Earner,0.508
R06581,42,Male,UK,High School/Diploma,Full-time Employed,Technology/IT,Manager/Director,21,,2.0,3,No,61-80%,4,Yes,LinkedIn Learning,1.3,3,Time,Hybrid,Cloud Computing,Employer,Yes,Yes,4,No,4,4,Yes,4,Yes,0.41,0.594,0.912,1.242,Unknown,0.658
R06582,31,Female,USA,High School/Diploma,Full-time Employed,Healthcare,Manager/Director,12,$75-120K,0.0,3,No,81-100%,3,No,None,0.0,4,Lack of Awareness,Online Instructor-led,None,Social Media,No,No,2,Yes,3,2,No,4,Yes,0.47,0.188,0.088,1.263,Complacent High Earner,0.646
R06583,21,Male,UAE,Bachelor's,Full-time Employed,Financial Services,Manager/Director,2,>AED 720K,0.0,3,No,0-20%,3,Yes,University/College Program,5.3,3,Lack of Awareness,Online Self-paced,Software Development,Peers/Network,Yes,No,4,No,3,3,No,1,Yes,0.23,0.655,0.612,0.752,Invested High Earner,0.608
R06584,29,Male,UK,High School/Diploma,Student,Energy/Utilities,Entry-level,11,£15-30K,0.0,2,No,41-60%,4,No,Coursera,0.0,3,Cost,Online Self-paced,None,Government Campaign,No,No,1,Yes,5,3,No,8,No,0.25,0.125,0.0,3.704,At-Risk Low Earner,0.692
R06585,26,Male,South Africa,Bachelor's,Full-time Employed,Retail/E-commerce,Senior,2,<R80K,0.0,4,No,81-100%,4,No,None,0.0,3,Employer Doesn't Support,Hybrid,None,Government Campaign,No,No,1,Yes,5,5,No,4,No,0.57,0.125,0.0,7.407,At-Risk Low Earner,0.758
R06586,31,Male,Germany,High School/Diploma,Full-time Employed,Healthcare,Senior,7,<€20K,0.0,4,Yes,81-100%,4,Yes,Coursera,2.5,5,Lack of Awareness,Peer Learning/Mentorship,Soft Skills/Leadership,Self-Research,No,Yes,3,Yes,3,3,Yes,3,Yes,0.87,0.738,0.475,0.668,At-Risk Low Earner,0.75
R06587,48,Female,Singapore,High School/Diploma,Student,Healthcare,Entry-level,29,S$25-50K,3.0,4,Yes,0-20%,2,No,None,0.0,3,Family Responsibilities,Online Instructor-led,None,News/Media,No,Yes,3,Yes,2,4,No,1,Yes,0.63,0.125,0.475,5.556,At-Risk Low Earner,0.508
R06588,40,Female,UK,Bachelor's,Full-time Employed,Healthcare,Senior,20,£30-50K,0.0,4,Yes,61-80%,3,Yes,edX,8.8,4,Time,Online Self-paced,Data/AI & Machine Learning,Self-Research,No,Unsure,1,Yes,3,4,No,1,Yes,0.81,0.77,0.15,0.962,Striving Upskiller,0.696
R06589,20,Male,USA,Master's,Student,Education,Entry-level,0,$25-50K,1.0,4,No,61-80%,5,Yes,Bootcamp,7.5,4,Time,Online Instructor-led,Cybersecurity,News/Media,No,No,4,No,2,5,No,4,Yes,0.51,0.75,0.262,1.316,Striving Upskiller,0.546
R06590,31,Male,UK,Master's,Full-time Employed,Financial Services,Senior,8,>£120K,2.0,3,No,0-20%,2,Yes,YouTube/Free Resources,3.8,3,Family Responsibilities,On-the-job Training,Cybersecurity,Government Campaign,Yes,Unsure,4,Yes,4,3,No,4,No,0.23,0.632,0.762,0.779,Complacent High Earner,0.658
R06591,22,Female,USA,High School/Diploma,Full-time Employed,Technology/IT,Mid-level,0,$120-200K,1.0,3,Yes,41-60%,3,No,None,0.0,4,Cost,On-the-job Training,None,Peers/Network,No,No,2,No,4,2,No,4,Yes,0.65,0.188,0.088,1.263,Complacent High Earner,0.746
R06592,36,Female,UK,Master's,Full-time Employed,Healthcare,Mid-level,18,<£15K,2.0,3,No,21-40%,5,Yes,LinkedIn Learning,1.7,4,Family Responsibilities,Online Instructor-led,Soft Skills/Leadership,Employer,Yes,No,3,No,5,3,Yes,7,Yes,0.29,0.663,0.525,0.743,At-Risk Low Earner,0.796
R06593,31,Male,India,Below High School,Unemployed - Not Seeking,Financial Services,Entry-level,7,₹6-12L,0.0,4,No,21-40%,3,Yes,LinkedIn Learning,1.4,4,Employer Doesn't Support,Online Self-paced,Data/AI & Machine Learning,Employer,No,No,1,Yes,4,2,No,2,Yes,0.39,0.659,0.0,0.374,At-Risk Low Earner,0.779
R06594,30,Male,India,High School/Diploma,Full-time Employed,Agriculture,Entry-level,4,₹3-6L,0.0,3,No,21-40%,3,Yes,YouTube/Free Resources,5.7,4,Family Responsibilities,Online Instructor-led,Software Development,News/Media,No,No,2,Yes,4,3,No,4,No,0.29,0.723,0.088,0.682,Striving Upskiller,0.746
R06595,34,Male,South Africa,High School/Diploma,Full-time Employed,Media/Entertainment,Senior,12,R200-400K,2.0,3,No,21-40%,2,No,Coursera,0.0,4,Cost,On-the-job Training,None,News/Media,Yes,Unsure,2,No,4,4,Yes,2,No,0.29,0.188,0.588,3.788,At-Risk Low Earner,0.779
R06596,36,Male,UK,Master's,Student,Education,Entry-level,15,£30-50K,4.0,3,No,61-80%,4,No,Government Program,0.0,4,No Relevant Programs,On-the-job Training,None,Self-Research,No,No,1,No,3,4,No,6,No,0.41,0.188,0.0,3.788,At-Risk Low Earner,0.612
R06597,51,Male,Japan,Master's,Part-time Employed,Financial Services,Manager/Director,28,¥5-8M,0.0,2,No,21-40%,5,No,None,0.0,4,Employer Doesn't Support,Online Instructor-led,None,Self-Research,No,No,2,No,1,3,No,11,No,0.19,0.188,0.088,2.525,At-Risk Low Earner,0.329
R06598,32,Male,India,Bachelor's,Full-time Employed,Logistics/Supply Chain,Senior,12,₹3-6L,3.0,3,Yes,0-20%,3,No,None,0.0,4,Lack of Awareness,Online Self-paced,None,Employer,No,No,2,Yes,4,2,No,5,No,0.53,0.188,0.088,1.263,At-Risk Low Earner,0.729
R06599,38,Male,India,Bachelor's,Full-time Employed,Healthcare,Mid-level,18,₹12-25L,,4,No,41-60%,4,Yes,Udemy,3.2,1,Cost,In-person Classroom,Digital Marketing,Self-Research,No,Yes,3,No,2,4,No,4,No,0.45,0.498,0.475,1.476,Complacent High Earner,0.283
R06600,47,Female,Germany,PhD,Full-time Employed,Technology/IT,Executive/C-suite,24,€40-65K,3.0,2,No,0-20%,3,No,None,1.8,2,Employer Doesn't Support,Online Self-paced,Software Development,Employer,Yes,No,4,No,3,1,No,8,No,0.13,0.29,0.612,0.0,At-Risk Low Earner,0.404
R06601,34,Non-Binary,India,Below High School,Unemployed - Seeking,Manufacturing,Mid-level,12,₹3-6L,2.0,3,Yes,81-100%,3,Yes,Government Program,12.2,4,Lack of Awareness,Hybrid,Digital Marketing,Peers/Network,No,No,3,Yes,3,1,No,5,Yes,0.77,0.82,0.175,0.0,Striving Upskiller,0.629
R06602,34,Female,India,Bachelor's,Self-employed/Freelancer,Logistics/Supply Chain,Entry-level,11,₹6-12L,0.0,3,No,0-20%,2,No,None,0.0,4,Time,Hybrid,None,Employer,No,Yes,2,No,2,3,No,8,No,0.23,0.188,0.387,2.525,At-Risk Low Earner,0.479
R06603,37,Female,India,Below High School,Full-time Employed,Construction/Real Estate,Senior,13,₹3-6L,2.0,4,No,21-40%,5,No,edX,1.5,4,Family Responsibilities,Online Self-paced,Green/Sustainability Skills,Peers/Network,Yes,Unsure,3,Yes,1,5,Yes,2,No,0.39,0.41,0.675,2.381,At-Risk Low Earner,0.479
R06604,31,Male,Brazil,Bachelor's,Full-time Employed,Government/Public Sector,Senior,6,R$80-150K,1.0,3,No,21-40%,3,No,None,0.0,4,No Relevant Programs,On-the-job Training,None,Peers/Network,Yes,No,3,Yes,5,5,No,4,No,0.29,0.188,0.525,5.051,Complacent High Earner,0.846
R06605,48,Male,UAE,High School/Diploma,Unemployed - Seeking,Education,Entry-level,23,AED 60-120K,3.0,2,No,41-60%,1,Yes,Coursera,12.4,4,Lack of Awareness,Online Instructor-led,Project Management,Social Media,No,No,1,Yes,4,3,No,10,No,0.25,0.823,0.0,0.6,Striving Upskiller,0.646
R06606,35,Male,USA,Below High School,Full-time Employed,Technology/IT,Mid-level,11,,2.0,4,Yes,41-60%,3,No,edX,0.0,5,Lack of Awareness,On-the-job Training,None,Social Media,Yes,No,2,No,3,4,No,3,No,0.75,0.25,0.438,2.885,Unknown,0.75
R06607,41,Female,South Africa,Below High School,Part-time Employed,Manufacturing,Executive/C-suite,18,R400-750K,2.0,3,No,0-20%,2,Yes,Coursera,3.1,4,No Relevant Programs,Peer Learning/Mentorship,Soft Skills/Leadership,News/Media,No,No,3,Yes,3,5,Yes,2,No,0.23,0.684,0.175,1.441,Complacent High Earner,0.679
R06608,34,Female,UAE,Master's,Full-time Employed,Retail/E-commerce,Entry-level,11,AED 120-240K,1.0,3,Yes,0-20%,4,No,University/College Program,0.9,2,Time,In-person Classroom,Data/AI & Machine Learning,Social Media,Yes,Yes,4,Yes,2,1,No,6,Yes,0.53,0.276,0.912,0.0,At-Risk Low Earner,0.338
R06609,36,Female,Germany,Bachelor's,Self-employed/Freelancer,Government/Public Sector,Mid-level,15,€65-100K,2.0,4,No,41-60%,4,No,None,0.0,4,Time,Online Self-paced,None,Self-Research,No,Yes,2,Yes,2,5,No,2,No,0.45,0.188,0.387,5.051,Complacent High Earner,0.579
R06610,40,Male,India,Bachelor's,Full-time Employed,Retail/E-commerce,Senior,18,,2.0,2,No,21-40%,2,Yes,Company Internal LMS,1.4,5,Employer Doesn't Support,Online Instructor-led,Software Development,Peers/Network,Yes,Yes,3,Yes,4,3,No,11,Yes,0.19,0.721,0.825,0.684,Unknown,0.717
R06611,37,Male,Brazil,Bachelor's,Self-employed/Freelancer,Retail/E-commerce,Executive/C-suite,11,R$20-40K,1.0,3,No,41-60%,3,No,Coursera,0.8,3,Cost,In-person Classroom,Soft Skills/Leadership,None,No,Unsure,3,No,2,2,No,4,No,0.35,0.337,0.325,0.72,At-Risk Low Earner,0.458
R06612,33,Female,USA,High School/Diploma,Full-time Employed,Education,Manager/Director,15,$75-120K,0.0,3,Yes,61-80%,2,Yes,Company Internal LMS,2.0,3,Family Responsibilities,Online Self-paced,Green/Sustainability Skills,Peers/Network,No,No,1,No,4,5,No,1,No,0.71,0.605,0.0,1.626,Complacent High Earner,0.708
R06613,37,Female,Philippines,High School/Diploma,Full-time Employed,Government/Public Sector,Senior,14,<₱150K,2.0,3,Yes,0-20%,3,No,Government Program,0.0,4,Time,Online Instructor-led,None,Self-Research,No,Unsure,3,Yes,4,3,No,5,No,0.53,0.188,0.325,2.525,At-Risk Low Earner,0.729
R06614,56,Male,Singapore,Master's,Self-employed/Freelancer,Retail/E-commerce,Senior,31,S$90-150K,2.0,3,Yes,41-60%,3,No,None,0.0,3,No Relevant Programs,Online Self-paced,None,News/Media,Yes,Unsure,5,No,2,3,No,6,No,0.65,0.125,0.85,3.704,Complacent High Earner,0.425
R06615,29,Female,UAE,Master's,Full-time Employed,Logistics/Supply Chain,Manager/Director,8,AED 240-480K,1.0,2,No,0-20%,3,No,None,0.0,4,Time,In-person Classroom,None,Self-Research,No,Unsure,4,No,3,2,No,9,No,0.13,0.188,0.412,1.263,Complacent High Earner,0.562
R06616,22,Male,UAE,Bachelor's,Unemployed - Not Seeking,Energy/Utilities,Entry-level,0,AED 60-120K,1.0,4,Yes,41-60%,4,Yes,Udemy,22.7,3,Employer Doesn't Support,Online Self-paced,Digital Marketing,News/Media,No,No,1,Yes,3,2,No,3,Yes,0.75,0.875,0.0,0.282,Striving Upskiller,0.575
R06617,32,Female,UAE,Master's,Full-time Employed,Technology/IT,Mid-level,10,<AED 60K,1.0,3,Yes,21-40%,4,No,None,0.0,3,Lack of Awareness,Online Self-paced,None,Social Media,Yes,Yes,3,No,3,4,No,2,No,0.59,0.125,0.825,5.556,At-Risk Low Earner,0.592
R06618,46,Male,USA,Master's,Part-time Employed,Technology/IT,Senior,23,$50-75K,1.0,3,No,61-80%,3,No,edX,1.0,3,Cost,In-person Classroom,Software Development,Self-Research,Yes,Unsure,3,No,3,3,Yes,5,No,0.41,0.34,0.675,1.429,At-Risk Low Earner,0.542
R06619,33,Female,UK,Master's,Self-employed/Freelancer,Energy/Utilities,Mid-level,15,£30-50K,1.0,2,Yes,0-20%,4,Yes,Bootcamp,11.9,5,Family Responsibilities,Peer Learning/Mentorship,Cloud Computing,Peers/Network,No,Unsure,2,Yes,4,3,Yes,6,No,0.43,0.879,0.238,0.562,Striving Upskiller,0.8
R06620,31,Female,USA,PhD,Unemployed - Not Seeking,Energy/Utilities,Entry-level,6,$75-120K,1.0,2,No,41-60%,2,No,None,0.0,4,Family Responsibilities,On-the-job Training,None,Employer,No,Unsure,2,Yes,3,2,No,9,No,0.25,0.188,0.238,1.263,Complacent High Earner,0.562
R06621,20,Prefer Not to Say,India,PhD,Student,Technology/IT,Entry-level,1,₹25-50L,0.0,2,No,41-60%,4,No,None,0.0,4,Employer Doesn't Support,Online Instructor-led,None,Social Media,No,No,1,No,4,2,No,5,Yes,0.25,0.188,0.0,1.263,Complacent High Earner,0.729
R06622,36,Female,Brazil,Master's,Full-time Employed,Media/Entertainment,Executive/C-suite,11,R$150-300K,1.0,4,Yes,41-60%,3,Yes,LinkedIn Learning,1.5,3,Lack of Awareness,Online Self-paced,Cybersecurity,News/Media,No,Unsure,3,No,3,4,Yes,2,No,0.75,0.598,0.325,1.234,Complacent High Earner,0.592
R06623,32,Male,USA,Bachelor's,Full-time Employed,Technology/IT,Senior,10,$75-120K,1.0,3,Yes,41-60%,3,Yes,Government Program,1.0,4,Cost,Hybrid,Data/AI & Machine Learning,Government Campaign,Yes,No,3,No,4,4,No,5,Yes,0.65,0.653,0.525,1.131,Complacent High Earner,0.729
R06624,33,Male,USA,High School/Diploma,Part-time Employed,Retail/E-commerce,Mid-level,11,$75-120K,0.0,3,No,81-100%,3,Yes,Bootcamp,2.8,4,Cost,In-person Classroom,Project Management,Self-Research,No,Unsure,2,Yes,3,3,No,5,Yes,0.47,0.68,0.238,0.725,Complacent High Earner,0.629
R06625,29,Male,India,High School/Diploma,Self-employed/Freelancer,Logistics/Supply Chain,Senior,8,₹12-25L,2.0,4,Yes,41-60%,4,No,None,0.0,4,Employer Doesn't Support,Online Instructor-led,None,Social Media,Yes,No,3,No,4,3,No,2,No,0.75,0.188,0.525,2.525,Complacent High Earner,0.779
R06626,37,Male,Brazil,Bachelor's,Full-time Employed,Education,Executive/C-suite,13,>R$300K,3.0,4,Yes,21-40%,4,Yes,Udemy,3.2,5,Cost,In-person Classroom,Cybersecurity,Self-Research,Yes,Unsure,3,No,2,4,No,2,Yes,0.69,0.748,0.675,0.989,Complacent High Earner,0.667
R06627,45,Male,Singapore,Master's,Full-time Employed,Retail/E-commerce,Manager/Director,21,S$150-250K,1.0,1,No,21-40%,4,Yes,University/College Program,2.5,3,No Relevant Programs,In-person Classroom,UX/UI Design,Government Campaign,No,Unsure,2,Yes,4,2,No,9,Yes,0.09,0.612,0.238,0.402,Complacent High Earner,0.575
R06628,33,Male,UAE,High School/Diploma,Full-time Employed,Government/Public Sector,Senior,10,AED 120-240K,0.0,1,No,21-40%,2,Yes,Company Internal LMS,6.5,4,Time,Hybrid,Data/AI & Machine Learning,Peers/Network,No,Unsure,1,Yes,4,4,Yes,10,No,0.09,0.735,0.15,1.007,Striving Upskiller,0.646
R06629,22,Female,Brazil,Bachelor's,Full-time Employed,Media/Entertainment,Senior,0,R$20-40K,1.0,3,No,21-40%,1,Yes,Udemy,6.1,3,Family Responsibilities,Online Self-paced,Green/Sustainability Skills,Self-Research,No,Yes,3,No,5,3,No,8,No,0.29,0.667,0.475,0.739,Striving Upskiller,0.692
R06630,24,Male,South Africa,Bachelor's,Full-time Employed,Retail/E-commerce,Entry-level,4,R750K-1.2M,0.0,2,Yes,81-100%,4,No,None,0.0,5,Time,Online Instructor-led,None,Peers/Network,No,No,2,No,4,2,No,11,No,0.67,0.25,0.088,0.962,Complacent High Earner,0.717
R06631,35,Male,USA,High School/Diploma,Part-time Employed,Education,Senior,10,<$25K,0.0,3,Yes,41-60%,2,No,University/College Program,0.0,3,Time,In-person Classroom,None,Self-Research,No,Unsure,4,No,2,5,No,7,No,0.65,0.125,0.412,7.407,At-Risk Low Earner,0.408
R06632,55,Female,Japan,Bachelor's,Full-time Employed,Energy/Utilities,Entry-level,32,¥5-8M,1.0,3,No,41-60%,2,Yes,LinkedIn Learning,1.0,3,Time,In-person Classroom,Soft Skills/Leadership,Social Media,No,Unsure,2,Yes,3,3,No,7,No,0.35,0.59,0.238,0.833,At-Risk Low Earner,0.508
R06633,39,Female,UAE,Bachelor's,Full-time Employed,Technology/IT,Senior,18,AED 240-480K,0.0,3,No,0-20%,3,No,LinkedIn Learning,0.0,4,No Relevant Programs,Hybrid,None,Peers/Network,Yes,No,4,No,3,3,Yes,2,Yes,0.23,0.188,0.612,2.525,Complacent High Earner,0.679
R06634,42,Female,Brazil,Master's,Part-time Employed,Logistics/Supply Chain,Mid-level,24,R$80-150K,3.0,4,No,0-20%,2,Yes,Coursera,20.0,3,Time,Peer Learning/Mentorship,UX/UI Design,Social Media,No,No,3,No,4,5,No,4,Yes,0.33,0.875,0.175,1.13,Invested High Earner,0.658
